trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,730.08,f,1,,meadow,nature,nature or school,nature,school,1,
iat,nature or anxiety | school or serenity,756.29,f,55,,river,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,588.43,j,56,,teacher,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,568.94,j,57,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,629.83,j,58,,teacher,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,636.18,f,59,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,641.48,f,60,,river,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,719.62,f,61,,alarm,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,468.84,j,62,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,559.61,j,63,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,717.74,j,64,,grade,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,741.89,j,65,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,687.45,f,66,,tree,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,701.44,j,67,,quiet,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,426.32,j,68,,relax,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,722.81,j,69,,grade,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,642.01,f,70,,mountain,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,497.13,f,71,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,719.87,f,72,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,563.89,f,73,,unease,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,997.96,f,74,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,695.3,f,75,,breeze,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,473.2,f,76,,tree,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,702.84,f,77,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,888.76,j,78,,teacher,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,818.53,j,79,,calm,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,853.47,j,80,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,753.03,f,81,,river,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,720.25,j,82,,lecture,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,701.98,j,83,,homework,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,820.79,f,84,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,746.62,f,85,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,543.39,j,86,,nervous,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,627.8,j,87,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,545.01,f,88,,nervous,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,280.73,f,89,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,530.31,j,90,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,623.01,j,91,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,509.91,j,92,,rest,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,805.19,j,93,,quiet,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,557.37,j,94,,grade,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,562.43,j,95,,rest,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,632.38,j,96,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,570.69,j,97,,quiet,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,818.64,j,98,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,662.58,j,99,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,907.23,j,100,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,661.4,j,101,,lecture,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,696.29,j,102,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,657.65,j,103,,essay,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,591.54,j,104,,lecture,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,505.6,f,105,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,635.76,j,106,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,944.3,j,107,,panic,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,621.08,f,108,,river,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,703.55,j,109,,panic,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,702.27,f,110,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,534.63,f,111,,rest,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,655.23,f,112,,alarm,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or serenity | school or anxiety,437.88,j,113,,essay,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,756.32,j,114,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,646.84,f,115,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,856.53,j,116,,fear,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,488.67,f,117,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,764.52,j,118,,class,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,634.74,f,119,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,429.64,f,120,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,522.03,f,121,,lecture,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,309.38,j,122,,panic,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,721.81,j,123,,teacher,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,459.45,j,124,,fear,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,739.12,f,125,,mountain,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,739.29,j,126,,lecture,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,448.58,j,127,,unease,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,623.45,f,128,,gentle,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,462.39,j,129,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,405.95,j,130,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,348.53,f,131,,quiet,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,579.22,j,132,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,498.2,j,133,,class,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,789.48,j,134,,alarm,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,449.64,j,135,,campus,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,541.05,j,136,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,532.4,f,137,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,593.94,f,138,,breeze,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,575.31,f,139,,tree,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,659.72,f,140,,gentle,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,522.72,f,141,,mountain,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,393.01,f,142,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,509.03,f,143,,quiet,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,561.56,f,144,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,460.44,f,145,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,707.37,j,146,,lecture,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,658.77,j,147,,alarm,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,950.75,f,148,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,513.28,f,149,,meadow,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,680.4,f,150,,forest,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,512.57,f,151,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,461.56,j,152,,essay,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,465.41,f,153,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,679.53,j,154,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,633.53,f,155,,calm,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,384.67,j,156,,worry,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,669.83,f,157,,meadow,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,607.13,f,158,,mountain,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,674.92,f,159,,meadow,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,627.92,f,160,,forest,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,569.55,j,161,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,550.39,j,162,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,325.14,j,163,,lecture,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,546.46,f,164,,ocean,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,779.2,j,165,,class,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,401.54,j,166,,teacher,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,674.58,j,167,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,561.25,f,168,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,0,
iat,nature or serenity | school or anxiety,613.85,j,169,,unease,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,586.81,f,170,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,518.03,j,171,,lecture,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,523.26,j,172,,alarm,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,568.88,f,173,,tree,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,644.24,f,174,,river,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,534.55,j,175,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,582.34,j,176,,teacher,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
Questionnaire,,,"{""question1"": 4, ""question2"": 3, ""question3"": null, ""question4"": null, ""question5"": 5, ""question6"": ""4"", ""question7"": 4}",177,,,,,,,,Q1-Q7
